0,2009,2010,2011,2012,2013,2014,2016,2017,2018,2019,2020,2021,2022,2023
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,,,1130018845.0,3002270118.0,6723644862.0,,29374580928.0,64286835061.0,278946264804.0,335398013989.0,1883709063.0,1137542621557.0,1112667974114.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,6252834000.0,-42330311719.0,-96871647630.0,-33684289704.0,-114663950476.0,-308224950762.0,-1276037943517.0,-2120214986482.0,-2344394040332.0,-5872761640253.0,-8574260892627.0,-11254869604436.0,1549111423316.0,-10831294696942.0
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,,,,,,,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",4950000000.0,54881980000.0,,38689927000.0,108850459021.0,11866630000.0,,92226480000.0,703840247200.0,90454820000.0,105200450000.0,228253030000.0,192628370000.0,443220000.0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,-38789936500.0,-20057078735.0,-300394500.0,-315300000.0,,-729700000.0,-4850060000.0,-6040930000.0,-2320000000.0,-5025640000.0,-9783280000.0
3.Tiền thu từ đi vay,130150885000.0,184456548518.0,1725462669223.0,3456372061773.0,3616870963398.0,3786869312765.0,19961551061988.0,29465789268692.0,31893805156672.0,45905952301242.0,51168161383884.0,63936208247950.0,65251647851081.0,70373733043570.0
4.Tiền chi trả nợ gốc vay,-123774137000.0,-176507262074.0,-1514918743018.0,-3370955147793.0,-3495027300214.0,-3681368000939.0,-17225505287912.0,-27456000269116.0,-31690848740269.0,-38801961791867.0,-48573996682152.0,-56045130957737.0,-73313739286999.0,-61933329857245.0
5.Tiền chi trả nợ gốc thuê tài chính,,,,,,,,,,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,-68580774000.0,,,,-2617511830.0,-220130282800.0,-231718927130.0,-485862426827.0,-665093453185.0,-678908841000.0,-239519441063.0,-731854815000.0,-731280023500.0
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,,,,,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,11326748000.0,-5749507556.0,210543926205.0,85316904480.0,210637043470.0,116747068977.0,2515600191276.0,1870536552446.0,421719356776.0,6524501816190.0,2014415380732.0,7877490879150.0,-8606343520918.0,7699783102825.0
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),29526221000.0,-979839081.0,51450614159.0,24834353703.0,199902421427.0,-91813148277.0,653080617859.0,2413985522819.0,338459847513.0,-634340602108.0,4232583706879.0,-3205988289364.0,919066704043.0,304315581953.0
Tiền và tương đương tiền đầu kỳ,,29526218260.0,28546379179.0,79996993338.0,104831347041.0,304733768468.0,343872968705.0,996983462012.0,3410983351393.0,3749550258212.0,3115236816468.0,7347857397925.0,4142015762555.0,5061020547422.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,,,29875448.0,14366562.0,107059306.0,27160364.0,36874578.0,146653994.0,-61919176.0,368727797.0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),29526221000.0,28546379179.0,79996993338.0,104831347041.0,304733768468.0,212920620191.0,996983462012.0,3410983351393.0,3749550258212.0,3115236816468.0,7347857397925.0,4142015762555.0,5061020547422.0,5365704857172.0
