,0,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2016,2017,2018,2019,2020,2021,2022,2023
22,1. Chi phí trả trước ngắn hạn,4059658077.0,17262964358.0,35806669927.0,40370582395.0,93984073973.0,72424202826.0,81837721116.0,114201682230.0,178529969119.0,592435044749.0,700736999465.0,759948049853.0,962477975930.0,692500771861.0,621038227150.0,290950472969.0,409346699247.0,449245737865.0
23,2. Thuế GTGT được khấu trừ,19898267893.0,40847030591.0,130809485421.0,143679733662.0,209295620060.0,310143861018.0,405237862119.0,621883774582.0,757073611102.0,921625024678.0,405361079316.0,156145888056.0,138812602015.0,175754512449.0,268314490280.0,256817647142.0,392864305787.0,528984574991.0
24,3. Thuế và các khoản khác phải thu Nhà nước,,1284084462.0,,1363407276.0,25940696199.0,12448920935.0,38095433386.0,14373755379.0,10025030013.0,33743686340.0,123171805359.0,111743332877.0,42812219245.0,128102182161.0,45523941471.0,32512955431.0,179405866433.0,76405085212.0
25,4. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,,,,,,,,,,,,,
26,5. Tài sản ngắn hạn khác,,4204107529.0,2989543927.0,12218782483.0,447430752436.0,746637198184.0,26213412379.0,22924261526.0,27779020471.0,31785859896.0,,,,,,,,
27,B. TÀI SẢN DÀI HẠN,198770440007.0,364655503543.0,1013430480154.0,1466570854462.0,2716910212438.0,3465522080811.0,3570358291380.0,3979712411237.0,4662313781106.0,5694011211930.0,7924598856728.0,8939739075221.0,11350979923527.0,14414988134764.0,16121833690263.0,18579567995029.0,20712692658989.0,23577075781023.0
28,I. Các khoản phải thu dài hạn,194100000.0,,,,108965000.0,376000000.0,1028639950.0,1434084775.0,1212664525.0,,380965916003.0,231657122488.0,109788240927.0,262484590350.0,242872863326.0,167244119883.0,225090876189.0,247392102550.0
29,1. Phải thu dài hạn của khách hàng,,,,,,,,,,,242327520000.0,161551680000.0,,,,,,
30,2. Trả trước cho người bán dài hạn,,,,,,,,,,,,,,380000000.0,380000000.0,,,
31,3. Vốn kinh doanh ở đơn vị trực thuộc,,,,,,,,,,,,,,,,,,
32,4. Phải thu nội bộ dài hạn,,,,,,,,,,,,,,,,,,
33,5. Phải thu về cho vay dài hạn,,,,,,,,,,,,,392794707.0,47427917600.0,93992225574.0,2268758773.0,1189922137.0,
34,6. Phải thu dài hạn khác,194100000.0,,,,126000000.0,376000000.0,1028639950.0,1434084775.0,1212664525.0,,192339224231.0,124834616306.0,164124620038.0,269405846568.0,203229811570.0,219704534928.0,276273436689.0,299764585187.0
35,7. Dự phòng phải thu dài hạn khó đòi,,,,,-17035000.0,,,,,,-53700828228.0,-54729173818.0,-54729173818.0,-54729173818.0,-54729173818.0,-54729173818.0,-52372482637.0,-52372482637.0
36,II.Tài sản cố định,165718400177.0,329468612613.0,641607535448.0,960726163328.0,1638511702799.0,2000339297036.0,2150890020172.0,2617661929811.0,3075863270475.0,3837788188637.0,4589983193268.0,5247285021701.0,6513735578258.0,7492167954088.0,8317822707614.0,10398837546784.0,12032914964907.0,13643232649833.0
37,1. Tài sản cố định hữu hình,149114247775.0,276837024963.0,598227349892.0,694250036187.0,1023899820620.0,1433735279875.0,1458878278435.0,1806909797593.0,2263586993603.0,2998002341729.0,4131298588426.0,4585493059313.0,5207125950106.0,6295261846210.0,7219551625765.0,9260934699063.0,10714231138520.0,12382116875249.0
38,- Nguyên giá,265599448484.0,481440832928.0,954246329790.0,1207764590999.0,1726364651536.0,2393560750522.0,2715424230866.0,3396114230189.0,4132422050335.0,5352532953679.0,7932027298677.0,8260173587144.0,9471984147609.0,11301061772211.0,12945570337275.0,16080827716168.0,19007982397113.0,22288962278190.0
39,- Giá trị hao mòn lũy kế,-116485200709.0,-204603807965.0,-356018979898.0,-513514554812.0,-702464830916.0,-959825470647.0,-1256545952431.0,-1589204432596.0,-1868835056732.0,-2354530611950.0,-3800728710251.0,-3674680527831.0,-4264858197503.0,-5005799926001.0,-5726018711510.0,-6819893017105.0,-8293751258593.0,-9906845402941.0
40,2. Tài sản cố định thuê tài chính,,,,153670867.0,146539767.0,730633347.0,595836958.0,645973398.0,545870029.0,740441475.0,2463716693.0,3656116414.0,3024593397.0,2845085816.0,2902077617.0,4842789874.0,31623636433.0,4018633151.0
41,- Nguyên giá,,,,180473274.0,219809549.0,927323115.0,965721579.0,1172124293.0,794460808.0,958946192.0,3446506943.0,4702426443.0,5208542803.0,6057653223.0,6031445271.0,8002891607.0,54439419528.0,8032465332.0
42,- Giá trị hao mòn lũy kế,,,,-26802407.0,-73269782.0,-196689768.0,-369884621.0,-526150895.0,-248590779.0,-218504717.0,-982790250.0,-1046310029.0,-2183949406.0,-3212567407.0,-3129367654.0,-3160101733.0,-22815783095.0,-4013832181.0
43,3. Tài sản cố định vô hình,8460058585.0,15938727374.0,34571052492.0,44566041768.0,231519697756.0,243376909739.0,268330648339.0,269109800119.0,272627710038.0,301803730735.0,456220888149.0,658135845974.0,1303585034755.0,1194061022062.0,1095369004232.0,1133060057847.0,1287060189954.0,1257097141433.0
44,- Nguyên giá,10307269189.0,25682093461.0,55249810480.0,83092578511.0,290955021013.0,328891186693.0,390244795346.0,432866818574.0,480191028731.0,529387560020.0,821227956626.0,1117419385566.0,1915362421263.0,1973814359687.0,2036967631495.0,2249106647011.0,2547883324785.0,2595586732247.0
45,- Giá trị hao mòn lũy kế,-1847210604.0,-9743366087.0,-20678757988.0,-38526536743.0,-59435323257.0,-85514276954.0,-121914147007.0,-163757018455.0,-207563318693.0,-227583829285.0,-365007068477.0,-459283539592.0,-611777386508.0,-779753337625.0,-941598627263.0,-1116046589164.0,-1260823134831.0,-1338489590814.0
46,III. Bất động sản đầu tư,,,,,,,,,,,,,,,,,,
47,- Nguyên giá,,,,,,,,,,,,,,,,,,
48,- Giá trị hao mòn lũy kế,,,,,,,,,,,,,,,,,,
49,IV. Tài sản dở dang dài hạn,,,,,,,,,,,1020980424296.0,805559896217.0,1174778083753.0,1650470873492.0,2373393296565.0,1290598745684.0,1062184742251.0,1315270136003.0
50,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,,,,,,,14238138008.0,,,,,,,
51,2. Chi phí xây dựng cơ bản dở dang,8144093817.0,36692860276.0,8809133064.0,221756414506.0,382945644656.0,322496474075.0,423085256440.0,540996358701.0,539102696805.0,537241674698.0,1006742286288.0,805559896217.0,1174778083753.0,1650470873492.0,2373393296565.0,1290598745684.0,1062184742251.0,1315270136003.0
52,V. Đầu tư tài chính dài hạn,1295852500.0,13295852500.0,321827414410.0,290070028679.0,909809195845.0,978169714467.0,865424033772.0,696285615938.0,706727341936.0,796508947186.0,826327509802.0,1783369007284.0,2202466649730.0,2496552054488.0,2581174954052.0,3101993693319.0,3238299217787.0,3335009108332.0
53,1. Đầu tư vào công ty con,,,,,,,,,,,,,,,,,,
54,"2. Đầu tư vào công ty liên kết, liên doanh",1295852500.0,,299211461910.0,243554076179.0,381217015904.0,714707561179.0,212185131510.0,210440925092.0,225525036285.0,251078173392.0,289799251298.0,1333704438239.0,1676231689527.0,1912712694571.0,1980817143237.0,2018005439382.0,2205736337693.0,2107616686383.0
55,3. Đầu tư góp vốn vào đơn vị khác,,13295852500.0,23795852500.0,47695852500.0,560288966270.0,273704891300.0,672534221546.0,663357798632.0,663468944666.0,703175738859.0,756802393141.0,749259852282.0,793360844792.0,893623994517.0,903457236286.0,1931006629408.0,2399073118584.0,2830348813038.0
56,4. Dự phòng đầu tư tài chính dài hạn,,,-1179900000.0,-1179900000.0,-31696786329.0,-10242738012.0,-19295319284.0,-177513107786.0,-182266639015.0,-157744965065.0,-221058175167.0,-299595283237.0,-267125884589.0,-309784634600.0,-303299425471.0,-847218375471.0,-1376710238490.0,-1623156391089.0
57,5. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,784040530.0,,,,200000000.0,200000000.0,10200000000.0,20200000000.0
