,0,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2016,2017,2018,2019,2020,2021,2022,2023
20,II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,,,,,,,,,,,,
21,"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-142136581154.0,-246629478307.0,-472606605083.0,-708045537841.0,-809932933466.0,-875985423639.0,-523412869918.0,-716454374091.0,-919555304469.0,-1440556923125.0,-1433113297810.0,-1104370928512.0,-2453675554507.0,-3233069745365.0,-3017645357713.0,-2911001172725.0,-3215243200871.0,-3978252082224.0
22,"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",-695314066.0,651472711.0,2364873784.0,38999419468.0,46704975545.0,8771598355.0,13618557987.0,8122583128.0,8533736154.0,23157827856.0,4641163312.0,3873003435.0,773278807.0,2251555566.0,3323070810.0,2866890285.0,5662030028.0,29269655015.0
23,"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,,,-1920000000.0,-1067420583790.0,,-294305297188.0,,-775227472629.0,-38195216179.0,-912254841704.0,-942508215806.0,-1188220715064.0,-1206873685745.0,-5954091321739.0,-35827118645179.0,-32995035947486.0,-33536189070356.0
24,"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,,,,,340441373368.0,,183970079398.0,,,,,,,,27590009509475.0,40669116046728.0,30458251083042.0
25,5.Tiền chi đầu tư góp vốn vào đơn vị khác,,-12000000000.0,-311800000000.0,-23900000000.0,-151453500000.0,-1228597124000.0,803192238800.0,,,-203239205312.0,-314070117375.0,,-709543569233.0,-109971962499.0,-101172751758.0,-450878532336.0,-557291900594.0,-1753619182518.0
26,6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,4169000000.0,,,,,,,9176422914.0,,,322220162456.0,-973833781575.0,180229124836.0,120174850275.0,31000000000.0,420000000.0,56400094000.0,94939906000.0
27,"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,191077000.0,,11750000000.0,78052945044.0,276456491097.0,258427546710.0,261792472258.0,156458913777.0,189684494595.0,308769840197.0,408056318390.0,473705873732.0,582420492806.0,894462073316.0,1182811834149.0,1793624815520.0,2137225525330.0
28,Lưu chuyển tiền thuần từ hoạt động đầu tư,-138662895220.0,-257786928596.0,-782041731299.0,-683116118373.0,-1904049096667.0,-1478913084819.0,257520176391.0,-253392816393.0,-1575711101448.0,-1469149022165.0,-2023807090924.0,-2608783604068.0,-3696731561429.0,-3845068494962.0,-8144124287084.0,-10412890116331.0,5757231937325.0,-6548374165711.0
29,III. Lưu chuyển tiền từ hoạt động tài chính,,,,,,,,,,,,,,,,,,
30,"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",136650000000.0,590676161360.0,39556350000.0,18080370000.0,84313100000.0,53088510000.0,27716100000.0,37628990000.0,13529220000.0,16388910000.0,66576590000.0,39143700000.0,26545560000.0,71715000000.0,59633580760.0,87611404675.0,77028689275.0,73050500000.0
31,"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,-18500000.0,-612200000.0,94237560000.0,-3605040000.0,2113400000.0,7916050000.0,1179060000.0,-29420000.0,,-876300000.0,-130000000.0,,-269625000.0,,,,
32,3.Tiền thu từ đi vay,3764480281591.0,5581874306556.0,6181524164314.0,6138972666600.0,11750348530857.0,10294347714483.0,8939913748490.0,10415676735351.0,14216536260965.0,23817428762280.0,22299129726143.0,21302571414666.0,10281501672838.0,13403998747456.0,20448570691368.0,34463706577011.0,28120228984733.0,34271246237260.0
33,4.Tiền chi trả nợ gốc vay,-3519035143506.0,-5761757487958.0,-5658804855385.0,-6202511262423.0,-8861090474506.0,-9944279366412.0,-8741469477255.0,-12208917387615.0,-12875984294847.0,-21174638669986.0,-21165445479721.0,-21923254763024.0,-8046946587865.0,-12504733393240.0,-15570014545746.0,-26931165232996.0,-35740054948912.0,-32551882452709.0
34,5.Tiền chi trả nợ gốc thuê tài chính,,,,,,,,,,,,,,-1522772466.0,-1753793420.0,-1306368312.0,-8376145424.0,-30169775111.0
35,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-2090350000.0,-34568652000.0,-280496149434.0,-389311861400.0,-521183994846.0,-286254483409.0,-491277301721.0,-988356211535.0,-750313927548.0,,-1058583700785.0,-1330432287475.0,-1707621484375.0,-1483558593800.0,-1899079382925.0,-2254183945975.0,-2222134795995.0,-2930628448135.0
36,7. Tiền thu từ vốn góp của cổ đông không kiểm soát,,,,,,,,,,,,,,,,,,
37,Lưu chuyển tiền thuần từ hoạt động tài chính,380004788085.0,376205827958.0,281167309495.0,-340532527223.0,2448782121505.0,119015774662.0,-250689420485.0,-2740413633799.0,607636128570.0,1903420498519.0,140800835637.0,-1912101935833.0,553479160598.0,-514370637050.0,3037356550037.0,5364662434403.0,-9773308216323.0,-1168383938695.0
38,Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),42376722986.0,254408056835.0,230607498317.0,346988124066.0,1068007099134.0,-874382261101.0,1464260834921.0,-583467801192.0,432056121925.0,1585311303754.0,2428652238005.0,-2532701874986.0,445067691505.0,-460689146227.0,1232911296289.0,791465872799.0,1037755477702.0,1800337593999.0
39,Tiền và tương đương tiền đầu kỳ,372681437525.0,415058160511.0,664907305114.0,895514803431.0,1242502927497.0,2310510026631.0,1436127765530.0,2902382823282.0,2318915022090.0,2750971144015.0,3584709151769.0,6013361389774.0,3480659514788.0,3925727206293.0,3453388617569.0,4686191374038.0,5417845293242.0,6440177174322.0
40,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,-14520000.0,,,,,,,,,,,,-11649442497.0,-108539820.0,-59811953595.0,-15423596622.0,38641914900.0
41,Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),415058160511.0,669451697346.0,895514803431.0,1242502927497.0,2310510026631.0,1436127765530.0,2900388600451.0,2318915022090.0,2750971144015.0,4336282447769.0,6013361389774.0,3480659514788.0,3925727206293.0,3453388617569.0,4686191374038.0,5417845293242.0,6440177174322.0,8279156683221.0
